Name,Rating,Color,Rarity,Frank,LSV,LR Community Review,Draftsim,Draftaholics,Gold/colorless adjustment
Realm-Cloaked Giant,4.92,White,Mythic,5,5,4.59,4.99,4.87,0
"Garruk, Cursed Huntsman",4.9,Multicolored,Mythic,5,5,5,5,5,-0.1
Harmonious Archon,4.86,White,Mythic,5,4.5,4.74,5,4.8,0
Murderous Rider,4.72,Black,Rare,4.7,4.5,4.67,5,4.95,0
Stonecoil Serpent,4.68,Artifact,Rare,4.7,4.5,4.21,5,4.5,0.1
"Oko, Thief of Crowns",4.63,Multicolored,Mythic,4.7,5,4.36,4.99,4.82,-0.1
The Circle of Loyalty,4.6,White,Mythic,4.7,4.5,4.2,5,4.62,0
The Great Henge,4.58,Green,Mythic,4.7,4.5,4.26,5,4.47,0
Questing Beast,4.58,Green,Mythic,4.4,4.5,4.71,4.99,4.97,0
"Rankle, Master of Pranks",4.57,Black,Mythic,4.7,4.5,4.21,4.99,4.43,0
Opportunistic Dragon,4.57,Red,Rare,4.7,4.5,4.18,5,4.42,0
Bonecrusher Giant,4.56,Red,Rare,4.7,4.5,4.24,5,4.32,0
Clackbridge Troll,4.53,Black,Rare,4.7,4,4.41,5,4.45,0
Lochmere Serpent,4.48,Multicolored,Rare,4.7,4.5,4.35,4.99,4.38,-0.1
"Gadwick, the Wizened",4.39,Blue,Rare,4.4,4.5,4.2,4.99,4.23,0
Giant Killer,4.32,White,Rare,4.4,4,3.96,4.93,4.52,0
The Royal Scions,4.28,Multicolored,Mythic,4.4,4.5,4.13,4.38,4.43,-0.1
Wicked Wolf,4.26,Green,Rare,4.4,4,3.73,5,4.36,0
Feasting Troll King,4.23,Green,Rare,4,4.5,4.23,4.99,4.45,0
Embercleave,4.15,Red,Mythic,4,4.5,3.98,4.97,4.22,0
Wildborn Preserver,4.15,Green,Rare,4,4.5,3.89,4.98,4.3,0
Brazen Borrower,4.08,Blue,Mythic,4,4,3.9,5,4.27,0
Stolen by the Fae,4,Blue,Rare,4,4,3.71,4.99,3.95,0
Epic Downfall,3.99,Black,Uncommon,4,4,3.69,4.79,4,0
"Syr Carah, the Bold",3.93,Red,Uncommon,4,4,3.61,4.61,3.73,0
Lovestruck Beast,3.9,Green,Rare,4,3.5,3.59,4.99,3.94,0
Irencrag Pyromancer,3.84,Red,Rare,4,3,3.62,4.99,4,0
"Syr Konrad, the Grim",3.81,Black,Uncommon,4,3.5,3.37,4.61,3.67,0
Vantress Gargoyle,3.81,Blue,Rare,4,3.5,3.4,4.47,3.66,0
Outlaws' Merriment,3.79,Multicolored,Mythic,3.5,4.5,4.09,4.54,4.13,-0.1
Keeper of Fables,3.76,Green,Uncommon,4,3.5,3.37,4.15,3.45,0
"Torbran, Thane of Red Fell",3.71,Red,Rare,3.5,3.5,3.82,4.99,4.11,0
Bake into a Pie,3.69,Black,Common,3.5,3.5,3.67,4.68,4.21,0
Robber of the Rich,3.69,Red,Mythic,3.5,3.5,3.61,4.96,4.16,0
